nes size p.value p.adj
ZNF763 -3.48339737077989 175 0.000495092903820225 0.00809360509271874
RORB -3.48045973540159 288 0.00050055405532789 0.00809360509271874
NR1H4 -3.47988599888398 204 0.000501627183028808 0.00809360509271874
EN1 3.47859344064476 306 0.000504052673042181 0.00809360509271874
ZNF555 -3.47758214442066 224 0.000505957992999635 0.00809360509271874
ZFP92 3.47134234527391 443 0.000517863319874707 0.00809360509271874
IRX4 3.46888610957306 269 0.000522620952997107 0.00809360509271874
BARX2 -3.46816959968909 553 0.000524016460549726 0.00809360509271874
ZNF442 -3.46742199486849 224 0.000525476231561205 0.00809360509271874
SNAI2 3.46687499701261 400 0.000526546697832309 0.00809360509271874
E2F3 3.46328526777242 922 0.00053362232760422 0.00809360509271874
NR3C2 -3.46145661669527 559 0.000537260704830351 0.00809360509271874
KLF7 3.46144849675153 443 0.000537276912105921 0.00809360509271874
RELB 3.46079299351037 296 0.000538586789689873 0.00809360509271874
PGR -3.4592243625313 205 0.000541733439316857 0.00809360509271874
ZIC2 3.45044179723283 338 0.00055966983286613 0.00809360509271874
ZKSCAN5 3.45038262809496 413 0.000559792526663033 0.00809360509271874
REL 3.45016235363412 492 0.000560249510551763 0.00809360509271874
TBP 3.44433093663076 259 0.000572474530356969 0.00809360509271874
HIF1A 3.44315235900923 244 0.000574975290123431 0.00809360509271874
FOXM1 3.43977421785185 439 0.000582199659194569 0.00809360509271874
NKX6-2 -3.43922309466975 133 0.000583386258662391 0.00809360509271874
POU3F1 3.43752940662416 380 0.000587046971987877 0.00809360509271874
HOXB9 3.4328583399815 138 0.000597254063453537 0.00809360509271874
MYBL2 3.42739243969976 742 0.000609407671409851 0.00809360509271874
PRDM5 -3.42715859047514 379 0.000609932741517008 0.00809360509271874
ZBTB2 3.42701523155243 231 0.000610254838607166 0.00809360509271874
HOXA5 3.42526223090744 441 0.000614206282175017 0.00809360509271874
PEG3 -3.42515104685457 267 0.000614457703629978 0.00809360509271874
TBX20 3.42392660241926 376 0.000617232892301665 0.00809360509271874
ZNF835 -3.41554999542885 286 0.000636533433087143 0.00809360509271874
AR -3.41532119967448 352 0.000637068393897393 0.00809360509271874
ZNF329 -3.41149528741758 311 0.00064607618104101 0.00809360509271874
RUNX3 3.41039023268781 480 0.000648699903444688 0.00809360509271874
ATOH8 -3.40392067503648 548 0.000664260409188587 0.00809360509271874
LMX1A -3.40193961764111 400 0.000669094193229273 0.00809360509271874
MEOX2 -3.3956645765075 494 0.000684622015980207 0.00809360509271874
SHOX2 3.39450475315803 419 0.000687528465628665 0.00809360509271874
ZNF7 3.39276606662871 434 0.00069190700224782 0.00809360509271874
PAX1 -3.39225244500143 274 0.000693205406611649 0.00809360509271874
KLF8 -3.39142784715652 463 0.000695294677114757 0.00809360509271874
FOXJ1 -3.39043638115823 327 0.000697814486933974 0.00809360509271874
ZNF682 -3.38934406113128 310 0.000700600441289119 0.00809360509271874
TGIF1 3.38733282392072 387 0.000705757142385469 0.00809360509271874
ZFP2 -3.38531156660531 572 0.000710975049858218 0.00809360509271874
HOXC13 3.38448170476271 452 0.000713127712604592 0.00809360509271874
NKX2-3 -3.38385414278064 390 0.000714759628944756 0.00809360509271874
NCOA1 -3.38273543727031 532 0.000717677326729713 0.00809360509271874
MSC 3.37376560958894 464 0.000741474742625351 0.00809360509271874
FOXN2 3.3723479405241 281 0.000745302284583295 0.00809360509271874
ZNF568 -3.36996965446568 290 0.000751764619113059 0.00809360509271874
SOX11 3.36959617403658 503 0.000752784163519833 0.00809360509271874
ZNF780A -3.36655770830136 308 0.000761126551135568 0.00809360509271874
ZNF615 -3.36552430639736 187 0.000763983358038891 0.00809360509271874
ZNF345 -3.36431011939073 255 0.000767352659219622 0.00809360509271874
ARID3A 3.36242110762705 263 0.000772621999393276 0.00809360509271874
ZNF697 3.36220849822323 426 0.000773217165314685 0.00809360509271874
ZHX3 -3.36097701133993 297 0.000776672896065772 0.00809360509271874
LHX9 3.35841244662704 335 0.000783915502680159 0.00809360509271874
NR2E3 -3.35767194527558 449 0.000786018392799805 0.00809360509271874
RUNX1 3.34729034112653 497 0.000816056908269939 0.00809360509271874
TFDP2 -3.34498818087036 573 0.000822860768452402 0.00809360509271874
ZNF582 -3.34492074291482 252 0.000823060867353596 0.00809360509271874
EN2 3.34490197264769 354 0.000823116569685579 0.00809360509271874
ZNF677 -3.34477909124678 240 0.000823481316885485 0.00809360509271874
TGIF2 3.34345810218653 484 0.000827411872589422 0.00809360509271874
ZNF91 -3.34166271667119 221 0.000832781883916993 0.00809360509271874
RORA -3.34120474207609 455 0.000834156855089782 0.00809360509271874
HAND2 -3.34038327988635 281 0.000836628397792519 0.00809360509271874
ZNF436 -3.33588439411096 378 0.000850285142046332 0.00813744108767658
E2F1 3.33195677548486 405 0.000862376494086205 0.00813744108767658
SOX8 -3.33162795823605 220 0.000863395971979192 0.00813744108767658
ZNF596 -3.33076304103103 241 0.000866082933527599 0.00813744108767658
ZNF676 -3.32462591547399 438 0.000885372434311814 0.00825925999436593
ZNF236 -3.31968584229269 302 0.000901187996998509 0.00826283204368475
TBPL1 3.31850444274949 352 0.000905008828293803 0.00826283204368475
ZNF441 -3.31654546288672 227 0.000911377579959783 0.00826283204368475
STAT1 3.31530546599023 636 0.000915430317548637 0.00826283204368475
EHF -3.31470785671011 430 0.000917389468862396 0.00826283204368475
IKZF2 -3.31074275415429 648 0.000930487051813572 0.00828760202940679
PAX9 -3.30760595936538 444 0.000940971070364155 0.00828760202940679
ZNF433 -3.30650361766081 268 0.00094468130634666 0.00828760202940679
ZNF469 3.30511630203166 283 0.000949369960850574 0.00828760202940679
ZNF595 -3.30437959510607 243 0.000951868533239678 0.00828760202940679
ZNF71 -3.28943059963638 363 0.00100390310385022 0.00855878397844528
ZNF354A 3.2859826940018 588 0.00101627253589686 0.00855878397844528
ZNF829 -3.28595064229803 252 0.00101638818097118 0.00855878397844528
ZNF425 -3.28535675734818 390 0.00101853316967742 0.00855878397844528
MEIS1 -3.28501152004081 406 0.00101978201990667 0.00855878397844528
NCOA2 -3.28430681275955 512 0.00102233560538856 0.00855878397844528
ZNF658 -3.28119299093505 368 0.00103368989113137 0.00859871973132211
ZFP3 -3.27462260555949 450 0.00105803215698983 0.00869210219411636
ZFP91 3.27276520145515 395 0.00106500908918307 0.00869210219411636
STAT2 3.27265883119098 414 0.0010654099314601 0.00869210219411636
ATF5 3.27103727284238 445 0.00107153786619658 0.00869210219411636
